metric,region,model,value
cwd_1_5,Inner Peninsular,HADGEM2-ES,0.6233771476335913
cwd_1_5,North East,PRECIS,0.6002160572087251
cwd_1_5,North East,HADGEM2-ES,0.29669556607161585
cwd_1_5,North West,PRECIS,0.7980443058398078
cwd_1_5,North West,HADGEM2-ES,0.6088918813715583
cwd_1_5,West Coast,PRECIS,0.6260249809736658
cwd_1_5,West Coast,HADGEM2-ES,0.46551563572010085
r90p,Central,PRECIS,0.20578536527872848
r90p,Central,HADGEM2-ES,-0.08996502998140431
r90p,Core Monsoon,PRECIS,0.6743753422141675
r90p,Core Monsoon,HADGEM2-ES,0.4140826924048318
r90p,East Coast,PRECIS,0.5989722979754177
r90p,East Coast,HADGEM2-ES,0.5185119140140437
r90p,India,PRECIS,0.7298883499717808
r90p,India,HADGEM2-ES,0.4566987563024842
r90p,Inner Peninsular,PRECIS,0.6804261686900053
r90p,Inner Peninsular,HADGEM2-ES,0.41616059107123715
r90p,North East,PRECIS,0.35578674446570485
r90p,North East,HADGEM2-ES,0.4593860107272079
r90p,North West,PRECIS,0.6436099921696046
r90p,North West,HADGEM2-ES,0.37085338405741797
r90p,West Coast,PRECIS,0.6107439722781252
r90p,West Coast,HADGEM2-ES,0.40878675648341134
timmean,Central,PRECIS,0.7221969642485734
timmean,Central,HADGEM2-ES,0.4176403721902609
timmean,Core Monsoon,PRECIS,0.7193932562550927
timmean,Core Monsoon,HADGEM2-ES,0.21788383634547773
timmean,East Coast,PRECIS,0.8221625638485416
timmean,East Coast,HADGEM2-ES,0.8470457410558115
timmean,India,PRECIS,0.6720770997505606
timmean,India,HADGEM2-ES,0.6063167474040699
timmean,Inner Peninsular,PRECIS,0.787709689569104
timmean,Inner Peninsular,HADGEM2-ES,0.764783124388999
timmean,North East,PRECIS,0.4011092942951
timmean,North East,HADGEM2-ES,0.5051709065163318
timmean,North West,PRECIS,0.7116723732704514
timmean,North West,HADGEM2-ES,0.7330490934983539
timmean,West Coast,PRECIS,0.8342099736318062
timmean,West Coast,HADGEM2-ES,0.6115822103825187
timstd,Central,PRECIS,0.3367978697365806
timstd,Central,HADGEM2-ES,0.1294531181516495
timstd,Core Monsoon,PRECIS,0.40862438819242225
timstd,Core Monsoon,HADGEM2-ES,0.22815009726021213
timstd,East Coast,PRECIS,0.400142641605192
timstd,East Coast,HADGEM2-ES,0.5003952932366332
timstd,India,PRECIS,0.5119584175598939
timstd,India,HADGEM2-ES,0.3349406380586657
timstd,Inner Peninsular,PRECIS,0.5872869714478092
timstd,Inner Peninsular,HADGEM2-ES,0.5602311939534569
timstd,North East,PRECIS,0.3840611794605637
timstd,North East,HADGEM2-ES,0.09407131018416645
timstd,North West,PRECIS,0.6280764025037114
timstd,North West,HADGEM2-ES,0.4395552584334132
timstd,West Coast,PRECIS,0.6427163060076434
timstd,West Coast,HADGEM2-ES,0.47361917439695816
